sprig_id,title,genre,developer,release_date,img_url
1,Assassin's Creed IV: Black Flag,"Action-adv, stealth",Ubisoft Montreal,"Nov 15, 2013",https://upload.wikimedia.org/wikipedia/en/2/28/Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg
2,Assassin's Creed Unity,"Action-adv, stealth",Ubisoft Toronto,"Nov 11, 2014",https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Acunity.jpg/250px-Acunity.jpg
3,Battlefield 1,First-person shooter,EA DICE,"Oct 21, 2016",https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Battlefield_1_cover_art.jpg/250px-Battlefield_1_cover_art.jpg
4,Destiny,"Action RPG, first-person shooter",Bungie,"Sep 9, 2014",https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Destiny_box_art.png/250px-Destiny_box_art.png
5,The Elder Scrolls Online,MMORPG,ZeniMax Online Studios,"Jun 9, 2015",https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Elder_Scrolls_Online_cover.png/250px-Elder_Scrolls_Online_cover.png
6,FIFA 16,Sport,EA Canada,"Sep 22, 2015",https://upload.wikimedia.org/wikipedia/en/thumb/2/27/FIFA_16_cover.jpg/250px-FIFA_16_cover.jpg
7,FIFA 17,Sport,EA Canada,"Sep 27, 2016",https://upload.wikimedia.org/wikipedia/en/thumb/0/08/FIFA_17_cover.jpeg/250px-FIFA_17_cover.jpeg
8,Grand Theft Auto V,"Action-adv, open world",Rockstar North,"Nov 18, 2014",https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Grand_Theft_Auto_V.png/250px-Grand_Theft_Auto_V.png
9,The Last of Us Remastered,"Action-adv, survival horror",Naughty Dog,"Jul 29, 2014",https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Video_Game_Cover_-_The_Last_of_Us.jpg/250px-Video_Game_Cover_-_The_Last_of_Us.jpg
10,LittleBigPlanet 3,"Platform, puzzle",Sumo Digital,"Nov 18, 2014",https://upload.wikimedia.org/wikipedia/en/thumb/b/be/LittleBigPlanet_3_boxart.jpg/250px-LittleBigPlanet_3_boxart.jpg
11,Plants vs. Zombies: Garden Warfare 2,"Third-person shooter, tower defense",PopCap Games,"Feb 23, 2016",https://upload.wikimedia.org/wikipedia/en/e/e5/PvZ_Garden_Warfare_2.jpg
12,Rayman Legends,Platform,Ubisoft Montpellier,"Feb 18, 2014",https://upload.wikimedia.org/wikipedia/en/f/f6/Rayman_Legends_Box_Art.jpg
13,Rise of the Tomb Raider,Action-adv,Crystal Dynamics,"Oct 11, 2016",https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Rise_of_the_Tomb_Raider.jpg/250px-Rise_of_the_Tomb_Raider.jpg
14,Rock Band 4,Rhythm,Harmonix,"Oct 6, 2015",https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Rock_band_4_cover.png/250px-Rock_band_4_cover.png
15,Rocket League,"Sport, racing",Psyonix,"Jul 7, 2015",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Rocket_League_coverart.jpg/250px-Rocket_League_coverart.jpg
16,Tom Clancy's The Division,"Action RPG, third-person shooter",Ubisoft Massive,"Mar 8, 2016",https://upload.wikimedia.org/wikipedia/en/thumb/0/03/The_Division_box.jpg/250px-The_Division_box.jpg
17,Uncharted 4: A Thief's End,Action-adv,Naughty Dog,"May 10, 2016",https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Uncharted_4_box_artwork.jpg/250px-Uncharted_4_box_artwork.jpg
18,Watch Dogs 2,Action-adventure,Ubisoft Montreal,"Nov 15, 2016",https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Watch_Dogs_2.jpg/250px-Watch_Dogs_2.jpg